Character	Canonical Name	Gender	Address 1	Address 2	Address 3	Politics	Marital Status	Opponent	Typical Activity	Vehicle of Choice	Weapon of Choice	Seen Wearing	Domains	Genres	Fictive Status	Portrayed By	Creator	Creation	Group Affiliation	Fictional World	Negative Talking Points	Positive Talking Points	Category	Archetypes
Jay Gatsby	Jay Gatsby	male	West Egg, Long Island	New York	USA	libertarian	dating Daisy Buchanan	Tom Buchanan	throwing lavish parties	yellow 1928 Rolls-Royce Phantom I	Colt M1911	striped pink linen suit	The Great Gatsby	business, crime	fictional	Leonardo DiCaprio	F. Scott Fitzgerald			The Great Gatsby	social-climbing, shady, hollow, fake, pretentious	suave, touching, idealistic, ambitious, enigmatic, self-made, brave, glamorous, successful, generous	Millionaire, Playboy, Con Man	
Michael J. Fox	Michael J.-Fox	male	Edmonton	Alberta	Canada	left	married to Tracy Tracy	Taylor Swift	throwing fund-raisers for Parkinson's disease	DeLorean DMC-12	M79 Grenade Launcher	red bodywarmer Jacket	Back To The Future, Family Ties, Spin City, Parkinson's	movies, comedy, television							short, vertically-challenged, preachy, sanctimonious, saccharine	boyish, handsome, humorous, affable, witty, personable, entertaining	Actor	
Ellen Ripley	Ellen Ripley	female		Olympia	Luna	left	single	Alien Xenomorph	hunting aliens	Nostromo shuttle	grappling hook, flamethrower, forklift suit	khaki jumpsuit, spacesuit	Alien, Outer Space	horror, movies, science fiction	fictional	Sigourney Weaver	Dan O'Bannon, Ronald Shusett		Weyland-Yutani	Alien, Aliens	wilful, mouthy, argumentative, pushy	maternal, sympathetic, straight-talking, frank, disciplined, no-nonsense, capable, resourceful, calm-under-pressure, strong, competent, decisive	Astronaut, Heroine	Gh
Clarice Starling	Clarice Starling	female		West Virginia	USA	left		Hannibal Lecter, Buffalo Bill	hunting serial killers	FBI-issue sedan	SIG-Sauer P226	blue FBI jacket	Silence of the Lambs	crime, horror, movies	fictional	Jody Foster	Thomas Harris		The FBI	Silence of the Lambs	haunted, overly-reserved, unfeminine, asexual	clever, dogged, capable, competent, driven, ambitious, courageous	FBI Agent, Cop, Policeman	
Scarlett O'Hara	Scarlett O'Hara	female	Tara Plantation	Georgia	USA	right	married to Rhett Butler	Melanie Wilkes	attending cotillion balls	horse-drawn carriage	riding whip, pitchfork	green curtain dress, burgundy ball gown	Gone With The Wind, The American Civil War	history, war, movies, literature	fictional	Vivien Leigh	Margaret Mitchell		The Confederacy	Gone With The Wind	vain, self-centered, spoiled, insecure, wilful, highly-strung, materialistic	feisty, strong, bright, charming,	Heroine, Southern Belle	
Modesty Blaise	Modesty Blaise	female				libertarian	single		pulling capers	Daimler Dart	quarterstaff, blowpipe, Yawara Stick	sexy catsuit	Espionage, International Crime	crime, comic books	fictional		Peter O'Donnell				deadly, amoral, immodest	athletic, strong, capable, agile, versatile, seductive, beautiful	Heroine, Crime Fighter	
Sarah Connor	Sarah Connor	female	Los Angeles	California	USA	libertarian	single	T-100, T-1000	amassing weapons, preparing for the apocalypse	armored SUV	Westinghouse M95A1 Phased Plasma Rifle	military tank top	The Terminator, the Post-Apocalypse	science fiction, movies	fictional	Linda Hamilton, Lena Headey	James Cameron			The Terminator	stern, preachy, humorless, apocalyptic, gloomy, fatalistic, pushy, depressing	athletic, muscular, driven, non-nonsense, resourceful, capable,	Heroine, Prophet	
Condoleezza Rice	Condoleezza Rice	female	Birmingham	Alabama	USA	right	single	Donald Rumsfeld	advising on foreign affairs	Mercedes-Benz GLA 250	smoking gun, invisible WMD	knee-high stiletto boots, sleek fitted black coat	American politics, the War on Terror	politics, warfare					The Republican Party, Neo-Conservatism		cold, remote, hawkish, wonkish, bossy	hard-working, technically-brilliant, dedicated, focused, diplomatic	Politician, Advisor	
Donald Rumsfeld	Donald Rumsfeld	male	Evanston	Illinois	USA	right	married	Condoleezza Rice, Colin Powell	promoting new wars, writing hawkish memos, blanketing staff with memos, holding evasive press conferences, offering gnostic advice	Gulfstream jet	unknown unknowns	tie with hawkish stripes	American politics, the War on Terror	politics, warfare				Abu Ghraib prison	The Republican Party, Neo-Conservatism		hawkish, militaristic, bombastic, partisan, unapologetic, oblivious, back-slapping, glad-handing, cavalier, uncaring, cold-hearted, evasive, slippery, shallow, glib, ruthless, Machiavellian	frank, candid, clever, cunning, action-oriented, energetic, zealous	Politician, Advisor	
Lisbeth Salander	Lisbeth Salander	female	Fiskargatan 9	Stockholm	Sweden	left, libertarian	single	Dr. Peter Teleborian	hacking into corporate mainframes	Honda CL350 street scrambler	Molotov cocktail	dyed black hair, face piercings, provocative T-shirt, spiky hair, black leather jacket	The Girl With The Dragon Tattoo, Scandinavian crime fiction	movies, literature	fictional	Noomi Rapace, Rooney Mara	Stieg Larsson			The Girl With the Dragon Tattoo	androgynous, anti-social, traumatised, sociopathic, distrustful, unforgiving, vengeful, remorseless, antagonistic, troubled	technically-talented, technically-brilliant, principled, logical, methodical	Hacker, Loner, Punk	
Princess Leia Organa	Leia Organa	female			Alderaan	left	dating Han Solo	Darth Vader	leading the rebel alliance, smuggling military plans	74-Z speeder bike	laser blaster	cinnamon buns hairdo	Star Wars	science fiction	fictional	Carrie Fisher	George Lucas		The Rebel Alliance	Star Wars, The Empire Strikes Back, Return of the Jedi	shrewish, mouthy, bossy,	petite, fair-skinned, driven, dedicated, spunky, feisty	Princess, Heroine	Ag
Hermione Granger	Hermione Granger	female	Hogwarts	Scotland	UK	left	dating Ron Weasley	Rita Skeeter	concocting magic potions, casting magic spells	Nimbus 2000 broomstick	vine wood magic wand	Hogwarts uniform, black robe, black pointed hat	Hogwarts, Teen fiction	fantasy, teen fiction	fictional	Emma Watson	J. K. Rowling		Hogwarts	The Philosopher's Stone, The Chamber of Secrets, The Goblet of Fire, The Deadly Hallows, The Order of the Phoenix, The Prisoner of Azkhaban	bossy, insecure, irritating, swottish, uptight, arrogant	levelheaded, book-smar, logical, rational, dutiful, loyal, focused, compassionate	Heroine, Student, Magician, Schoolkid	Bbw
Sydney Bristow	Sydney Bristow	female	Los Angeles	California	USA	left	married to Michael Vaughn	Anna Espinosa	kicking ass, spying for the CIA	pink bicycle	Krav Maga, handgun with silencer	black-and-red miniskirt	Espionage, International Crime	espionage, television	fictional	Jennifer Garner	J.J. Abrams		SD6	Alias	traumatised, lethal, confused	athletic, strong, capable, agile, versatile, seductive, beautiful	Spy, Heroine, Assassin	Ag
Dana Scully	Dana Scully	female	Quantico	Virginia	USA	right	dating Fox Mulder	The Smoking Man	explaining away the unexplained, investigating alien abductions	FBI-issue sedan	SIG-Sauer P228	plaid pant suit, shoulder pads	The X-Files,	science fiction, television	fictional	Gillian Anderson	Chris Carter		The FBI	The X-Files	skeptical, narrow-minded, dour, dismissive, unsentimental, humorless	devout, loyal, dutiful, disciplined, methodical, beautiful, logical, scientific, smart, analytical	FBI Agent, Scientist, Skeptic	
Marie Curie	Marie Curie	female	Passy	Haute-Savoie	France	left	married to Pierre Curie	Edouard Branly	extracting Radium from pitchblend	horse-drawn carriage	Polonium-210		Physics, Modern science, Chemistry	science							stubborn, obstinate, irradiated, implacable	pioneering, dogged, scientific, methodical, brilliant	Scientist, Pioneer	
Tim Burton	Tim Burton	male	Burbank	California	USA	left	dating Helena Bonham Carter	Kevin Smith	making bizarre movies,	black Range Rover Sport SVR	suicide penguin squad, shrinking ray gun	dark suit, fright wig	Hollywood, Animation, Horror	science fiction, comedy, fantasy, movies, horror				Edward Scissorhands, Beetlejuice			macabre, dark, twisted, morbid, ghoulish	inventive, creative, artistic, witty, playful, imaginative,	Designer, Director	
Coco Chanel	Coco Chanel	female	Place Vendôme	Paris	France	right	dating Pierre Reverdy	Elsa Schiaparelli	designing haute couture, selling perfumes	Mercedes-Benz 600 Pullman	Chanel no. 5 atomizer	Chanel suit	Fashion, the Rag Trade, the Fashion industry	fashion, business		Audrey Tautou, Keira Knightley		Chanel No. 5	Chanel		controversial, selfish, narcissistic, cynical, manipulative, opportunistic	chic, stylish, driven, determined, ambitious, prolific, influential, passionate, focused, fiercely-independent	Fashion Designer, Business Leader	
Fox Mulder	Fox Mulder	male	Quantico	Virginia	USA	left	dating Dana Scully	The Smoking Man	postulating bizarre theories, investigating alien abductions	1995 Ford Taurus	Taurus PT92 , SIG-Sauer P226	Armani top-coat	The X-Files,	science fiction, television	fictional	David Duchovny	Chris Carter		The FBI	The X-Files	gullible, aloof, cynical, unprofessional, manic, porn-addicted, credulous, disrespected	open-minded, wry, witty, zealous, passionate, protective, imaginative, intuitive	FBI Agent, Paranormal Investigator	
Bruce Willis	Bruce Willis	male	Manhattan	New York City	USA	right	divorced from Demi Moore	Kevin Smith, Sylvester Stallone	making action movies, starring in action movies	1968 Pontiac Firebird 400	Beretta 92F	sweaty undershirt	Hollywood, Acting, Action movies	movies, comedy							lazy, greedy, bald, neurotic, petulant	witty, entertaining, sardonic, humorous, action-oriented, bankable	Actor, Singer	
Robert Downey Jr.	Robert Downey-Jr.	male	Malibu	California	USA	left	married	Terrence Howard	making movies, making Superhero movies	black 1965 Corvette, Audi S7	Mixed Martial Arts	sharp suit, suit of armor	Hollywood, Acting, Action movies	movies, comedy							reckless, irresponsible, substance-abusing, narcissistic	versatile, entertaining, witty, charming, sardonic, bankable, humorous, cool, nonchalant	Actor, Campaigner	
Michael Schumacher	Michael Schumacher	male	Gland	Lake Geneva	Switzerland		married	Damon Hill	driving fast cars, racing fast cars	Formula 1 Ferrari f2004	tyre iron	flame-retardant jumpsuit, fireproof gloves, racing helmet	Formula One, Car Racing	sport, racing					Formula One		reckless, overly competitive, calculating, unsportsmanlike, selfish, adrenaline-addicted	fast, skilful, cool-headed, adventurous	Driver, Racer	
Oscar Pistorius	Oscar Pistorius	male	Sandton	Johannesburg	South Africa	right	dating Reeva Steenkamp	Alan Oliveira	running races, competing in the Olympics	tricked-out wheelchair	Mossberg Maverick with pistol grip	running blades	Olympics, Racing, Running	sport, racing							quick-tempered, hot-tempered, overly competitive, trigger-happy, gun-happy	fast, athletic, determined, undaunted	Runner, Racer, Athlete, Killer	
Bernard Madoff	Bernard Madoff	male	Manhattan	New York City	USA	right	married	The S.E.C.	cheating clients, running Ponzi schemes, running pyramid schemes	Mercedes E 320	insider knowledge	sharp suit, prison stripes	Investment Funds, Investments, Finance	finance, business, crime				Bernard L. Madoff Securities LLC			duplicitous, deceitful, false, manipulative, greedy, scheming, thieving, cheating, unscrupulous	shrewd, cunning, charming, wealthy, rich	Fund Manager, Investment Manager, Broker, Charlatan, Embezzler, Swindler	Cce
Julian Assange	Julian Assange	male	Ecuadorian Embassy	London	UK	libertarian	single	Glenn Greenwald,	leaking state secrets, leaking classified documents, hacking into computers, promoting openness, decrying secrecy	diplomatic car	hacking tricks, hack attacks	Oswald Boateng designer suit	Espionage, Politics, Wikileaks	espionage, internet		Benedict Cumberbatch		Wikileaks	Wikileaks		greasy, narcissistic, self-regarding, intrusive, selfish, sanctimonious, self-righteous, devious, messianic, ungentlemanly	elusive, determined, driven, socially-conscious, libertarian, free-speech-defending, progressive	Hacker, Campaigner, Recluse	
Tom Ripley	Tom Ripley	male	Belle Ombre	Villeperce-sur-Seine	France	libertarian	married to Héloise Plïsson	Dickie Greenleaf, Freddie Miles	forging art, planning confidence tricks, cashing checks, climbing social ladders	Vespa scooter	wooden oar, glass ashtray	Princeton blazer, Oxford shoes, Battistoni jacket, Prince Albert slippers, cuffed linen trousers, Brooks Brothers button-down	Social Climbing, High Society	crime, society,	fictional	Matt Damon, John Malkovitch, Alain Delon	Patricia Highsmith			The Talented Mr. Ripley	immoral, snooty, murderous, psychopathic, deceitful, remorseless, sexually-confused, jealous, diabolical	charming, literate, suave, agreeable, cultivated, urbane, dapper, cultured, talented	Con Man, Pretender, Snob, Killer, Psychopath	Mpb, Chs
Mrs. Doubtfire	Euphegenia Doubtfire	female	San Francisco	California	USA	right	single	Stuart Dunmeyer	performing household chores, looking after children, impersonating women	mobility scooter	wooden spoon	pinafore	Housekeeping, Child Minding, Family life	family	fictional	Robin Williams	Anne Fine			Mrs. Doubtfire	fat, bossy, strict, stern,	loving, caring, wise, indispensable	Nanny, Child Minder, Female Impersonator	
Kim Jong-Il	Jong-Il Kim	male	Pyongyang	North Korea	Korea	left	married	Bill Clinton, George W. Bush	crushing dissent, amassing nuclear weapons, issuing threats, enriching uranium	bullet-proof limousine	nuclear missile, dirty bomb, Unha-9 rocket	khaki safari suit, over-sized sunglasses,	Politics, Terrorism, Asian politics	politics, warfare						Team America	short, fat, overweight, pudgy, deranged, autocratic, paranoid, ruthless, bullying	powerful, rich, wealthy, strategic	Dictator, Politician, Autocrat, Bully	Cce, Bad
Kim Jung-un	Jung-un Kim	male	Pyongyang	North Korea	Korea	left	married	Seth Rogan, James Franco	crushing dissent, amassing nuclear weapons, issuing threats, enriching uranium	bullet-proof limousine	nuclear missile, dirty bomb, Unha-9 rocket	Dennis Rodman jersey	Politics, Terrorism, Asian politics	politics, warfare						The Interview	short, fat, overweight, pudgy, deranged, autocratic, paranoid, ruthless, bullying, insecure	powerful, rich, wealthy, strategic	Dictator, Politician, Autocrat, Bully	Cce, Bad
Simon Pegg	Simon Pegg	male	Notting Hill	London	UK	left	single	Ricky Gervais	dressing up in cosplay costumes, promoting nerd culture	Winnebago	cornetto bazooka, Taurus PT92	cosplay zombie costume	Nerd culture, Comedy	comedy, movies				Shaun of the Dead			nerdy, geeky, pasty-faced	witty, entertaining, funny,	Actor, Comedian, Nerd	
Anne Boleyn	Anne Boleyn	female	St. James Palace	London	UK		married to King Henry VIII	Mary Tudor, Catherine of Aragon, Thomas Cromwell	climbing social ladders, seducing kings	royal carriage	jeweled dagger	low-cut dress with pinched waist	Politics, British royalty, British history	politics, history		Natalie Dormer, Helena Bonham Carter, Natalie Portman			The Tudors, The House of Tudor	The Tudors, The Other Boleyn Girl	ill-used, over-ambitious, social-climbing, power-hungry, incestuous, over-reaching	seductive, tenacious, ambitious, sexy	Queen, Royal	
King Henry VIII	Henry Tudor	male	St. James Palace	London	UK	right	married to Anne Boleyn	Pope Clement	trading in wives	royal carriage	sharpened chicken bone	jewelled brocade doublet	Politics, British royalty, British history	politics, history		Jonathan Rhys Meyers, Robert Shaw, Eric Bana		Greensleeves	The Tudors, The House of Tudor	A Man For All Seasons, The Tudors	fickle, fat, greedy, paunchy, narcissistic, gluttonous	powerful, rich, wealthy, strategic, iconoclastic, commanding	King, Royal, Political Leader	
Angela Merkel	Angela Merkel	female	Reichstag	Berlin	Germany	right	married		plotting election strategies	armored limousine, VW Golf, gray Trabant	gold-plated hammer and sickle	flowing silk tunic	Politics, European politics, Germany	politics							stocky, stern, po-faced, humorless	sober, commanding, dominant, strategic	Politician, Chancellor, Political Leader	
Silvio Berlusconi	Silvio Berlusconi	male	Villa San Martino	Monza	Italy		divorced	La Repubblica, The Economist, Romano Prodi	throwing Bunga Bunga parties, avoiding taxes, throwing sex parties	Audi A8	Mafia garrote	bench bespoke silk suit, hair transplant bandana	Politics, European politics, Italy	politics							narcissistic, self-regarding, pretentious, hair-obsessed, vain, swaggering, tacky, lecherous	affable, fun-loving, media-savvy, rich, business-savvy, wealthy	Politician, Prime Minister, Political Leader, Tycoon	
Princess Fiona	Fiona	female			Far Far Away		married to Shrek	Prince Charming	waiting for a hero	pumpkin carriage	banshee wail	stretchy XXL green velvet gown	Fairy Tales,	comedy, movies	fictional	Cameron Diaz	William Steig			Shrek	shrill, naggy, stocky, impatient	caring, loving, capable	Princess, Heroine	H
Victor Frankenstein	Victor Frankenstein	male	Ingolstadt University	Bavaria	Germany		single	Frankenstein's Monster	creating monsters, playing God	horse-drawn carriage	Promethean electricity	frock coat and top hat	Horror, Literature, Halloween	horror, movies, science fiction	fictional	Kenneth Branagh		Frankenstein's Monster		Frankenstein	mad, over-reaching, over-ambitious, arrogant, reckless	driven, intelligent, inspired, ambitious	Scientist, Genius	Bad, 4te
Count Dracula	Vlad Dracula	male	Bran Castle	Transylvania	Romania	right	single	Abraham Van Helsing	sucking blood, chasing virgins	flock of bats, cloud of mist	pearly fangs	tuxedo and high-collared cape	Horror, Literature, Halloween	horror, movies	fictional	Christopher Lee, Benedict Cumberbatch, Luke Evans, Gary Oldman, Bela Lugosi, Jonathan Rhys Meyers	Bram Stoker			Dracula	evil, malevolent, blood-sucking, manipulative, exploitative, deadly	elegant, aristocratic, cunning, seductive, charming, sartorial	Vampire, Killer, Serial Killer, Monster, Aristocrat	Bad, Mpb
Jim Carrey	Jim Carrey	male	Beverly Hills, Hollywood	California	USA	left	divorced	Shia LaBeouf	gurning for the camera, pulling faces	silver Saleen S7	manic energy	safari-style utility jacket	Hollywood, Comedy	comedy, movies		George C. Scott					gurning, attention-seeking, insecure, hyper-active, ingratiating, cloying	funny, witty, quick-witted, entertaining, improvisational, rapid-fire, zany	Actor, Comedian	
General George Patton	George Patton	male	Heidelberg	Baden-Württemberg	Germany	right	married	General Erwin Rommel	slapping soldiers, planning tank battles	1938 Cadillac Staff Car	ivory-handled Colt pistol, Model 1913 Cavalry Saber	riding breeches and boots	War, World War II	warfare, politics, history					The Seventh Army	Patton	insensitive, stern, harsh, unforgiving, domineering, disciplinarian	strategic, tactical, disciplined, straight-talking, dapper	General, Military Leader, Soldier	
John F. Kennedy	John F.-Kennedy	male	Dealey Plaza, Dallas	Texas	USA	left	married to Jackie Kennedy	Richard Nixon, Lee Harvey Oswald, Fidel Castro	chasing starlets	open-top Lincoln limousine	famed Kennedy charm	Brooks Brothers suit	American politics	politics, history		Martin Sheen, Bruce Greenwood, James Marsden, William Petersen		The Peace Corps	The Democratic Party	J.F.K.	lecherous, adulterous, unfaithful, libidinous	media-savvy, handsome, inspiring, oratorical, youthful	President, Political Leader, Womanizer	
Nicolas Sarkozy	Nicolas Sarkozy	male	The Élysée Palace	Paris	France	right	married to Carla Bruni	Francois Hollande	partying on yachts	friend's yacht	Springfield M1 Garand rifle	ill-fitting suit, onion necklace	French politics,	politics, history					The UMP		short, insecure, power-hungry, aggressive, arrogant, confrontational, frenetic, hyper-active	energetic, ambitious, forceful, charismatic	President, Political Leader	
Dominique Strauss-Kahn	Dominique Strauss-Kahn	male	The Sofitel	New York City	USA	left	divorced	Nicolas Sarkozy	throwing sex parties, planning orgies	police cruiser	rolled-up bath towel	bath towel	French politics,	politics, history		Gérard Depardieu			The IMF, The French Socialist Party	Welcome to New York	lecherous, adulterous, unfaithful, predatory, fat,	intelligent, charming, charismatic, ambitious, well-educated	Economist, Lecher, Politician	
Alexander the Great	Alexander	male		Alexandria	Egypt	right	single	Darius III	building empires	Bucephalus	sarissae spear	white-and-purple striped tunic	War, the Ancient world	warfare, politics, history		Richard Burton, Colin Farrell				Alexander	shrill, ruthless, over-reaching, megalomaniacal	tactical, strategic, bold, brilliant, daring, ambitious, handsome, athletic	King, Royal, Political Leader, Military Leader, Conqueror	
Pocahontas	Pocahontas	female	Jameston	Virginia	USA		dating John Smith		bridging cultures	canoe	tomahawk	feathered headband	American history, the New world	history, movies						Pocahontas	naïve, primitive, unsophisticated, gullible	tall, slender, statuesque, brave, caring, beautiful, raven-haired, open-minded	Princess, Heroine	Ag
Amelia Earhart	Amelia Earhart	female					married to George Putnam	Beryl Markham	flying airplanes, breaking records	Lockheed Vega 5B	sharpened propeller	leather flight jacket	Aviation, American history	aviation, history		Amy Adams					publicity-hungry, reckless, attention-seeking, ill-prepared, lost	tenacious, intrepid, daring, pioneering	Feminist, Aviator, Aviatrix, Pilot, Pioneer	
Charles Lindbergh	Charles Lindbergh	male	St. Louis	Missouri	USA	right	married	Charles Nungesser, Clarence D. Chamberlin	flying airplanes, breaking records	Spirit of St. Louis	sharpened propeller	aviator's helmet and goggles, leather flight jacket	Aviation, American history, American politics	aviation, history, politics		Jimmy Stewart		The Spirit of St. Louis	The America First Committee	The Spirit of St. Louis	isolationist, prickly, politically-naïve	tenacious, intrepid, daring, pioneering	Aviator, Pilot, Pioneer	
Frida Kahlo	Frida Kahlo	female	Coyoacán	Mexico City	Mexico	left	married to Diego Rivera	Diego Rivera	painting colorful pictures, painting self-portraits	Mexico city streetcar	paint knife, habanero catapult	aviator's helmet and goggles, leather flight jacket	Mexican art, Art	art, history		Salma Hayek		Self Portrait With Necklace, Thinking About Death		Frida	hairy-lipped, brutally-honest, weird, twisted	imaginative, bold, strong-willed, honest, unvarnished	Artist, Painter	
Judy Garland	Judy Garland	female		Emerald City	Oz		married	Mel Torme	singing torch songs	flying house	Tin Man's axe	ruby red slippers	Music, Musicals	movies, music, music, singing							drug-addled, insecure, melodramatic	tuneful, sweet-voiced, talented, hard-working, versatile	Singer, Musician, Actress	
Ella Fitzgerald	Ella Fitzgerald	female	Beverly Hills, Hollywood	California	USA		married	Billie Holiday	singing torch songs, singing the blues	pink Cadillac	microphone cord garrote	Calico gown	Music, Jazz, Blues music	music, singing							untrained, lightweight, girlish	soulful, classy, richly-voiced, versatile, musical, tuneful, sultry, improvisational, silver-voiced, expressive	Singer, Musician	
Sylvia Plath	Sylvia Plath	female	Primrose Hill	London	UK	left	married to Ted Hughes	Assia Wevill	writing poetry	Morris Minor 1000 Traveller	depressing looks	Victorian nightgown	Modern poetry, Suicide	poetry		Gwyneth Paltrow		The Bell Jar		The Bell Jar	suicidal, depressive, depressing, moody,	expressive, poetic, insightful, observant,	Poet, Poetess	
Nicolas Cage	Nicolas Cage	male	French Quarter, New Orleans	Louisiana	USA		divorced from Lisa-Marie Presley	Sean Penn	over-acting	Enzo Ferrari	Kiwi Molotov cocktail	snakeskin jacket	Hollywood, Acting, Action movies	movies							manic, hyper-active, over-the-top, over-acting, melodramatic	intense, soulful, brooding, energetic, compelling, entertaining	Actor	
Malcolm X	Malcolm X	male	Boston	Massachusetts	USA	left	married to Betty Shabazz	Martin Luther King	fighting for civil rights	63 black Oldsmobile 98	M1 Carbine	zoot suit	American politics, Race Relations, Black liberation, the American Civil Rights movement	politics, history		Denzel Washington			The Nation of Islam	Malcolm X	confrontational, aggressive, hostile, belligerent	bold, daring, inspiring, socially-conscious, charismatic, resolute	Politician, Activist, Campaigner, Political Activist	
Rosa Parks	Rosa Parks	female	Tuskegee, Montgomery	Alabama	USA	left			fighting for civil rights	Montgomery bus	bus windscreen wiper	floral dress with a collared neck	American politics, Race Relations, Black liberation, the American Civil Rights movement	politics, history		Whoopee Goldberg					disobedient, disruptive	brave, tenacious, principled, inspiring,	Seamstress, Activist, Campaigner	
Sean Penn	Sean Penn	male		Port-au-Prince	Haiti	left	dating Charlize Theron, divorced from Robin Wright	Mickey Rourke, Wyclef Jean, Nicolas cage	starring in Hollywood movies, promoting social causes	Nissan Titan, Ford Mustang	12 Gauge Double Barreled Shotgun	Chinese single-breasted suit	Hollywood, Acting, Action movies	movies							politically-naïve, attention-seeking, narcissistic, egotistical, grandious, sanctimonious	passionate, compelling, entertaining, politically-active, socially-conscious	Actor, Activist, Campaigner	
Mickey Rourke	Mickey Rourke	male	Schenectady	New York	USA	right	divorced from Carré Otis	Sean Penn	getting plastic surgery	Bentley Continental GT	Ruger Super Blackhawk .454 Magnum	silver suit and blue suede shoes	Hollywood, Acting, Action movies, Plastic Surgery	movies							self-destructive, hedonistic, debauched, drunken, alcoholic, saggy-jowled, frozen-faced, disillusioned,	compelling, perfectionist, intense,	Actor, Boxer	
Elton John	Elton John	male	Grand Canal	Venice	Italy	left	married to David Furnish, divorced from Renate Blauel	Madonna, Lady Gaga	shopping for shoes, peacocking in fancy clothes	Sinclair C5	Candle In The Wind	purple musketeer outfit, Mardi Gras costume, Marie Antoinette dress	Music, Pop music, Love songs	music, singing				Rocket Man, Candle In The Wind	The Club at the End of the Street		bitchy, effeminate, flashy, show-offy, vain, bulimic	flamboyant, energetic, creative, entertaining, rich,	Singer, Musician, Pianist	
Bradley Manning	Bradley Manning	male	Fort Leavenworth	Kansas	USA	left	single	The US Government	leaking state secrets, leaking classified documents	prison van	jailhouse shiv	prison fatigues, orange overalls	Espionage, Politics, Wikileaks	politics, warfare		Darren Evans			Wikileaks		naïve, guileless, gullible, simplistic, unpatriotic, loose-lipped, sexually-confused, indiscrete, unreliable	principled, brave, courageous, altruistic,	Soldier, Informant, Campaigner, Prisoner	
Chelsea Manning	Chelsea Manning	female	Fort Leavenworth	Kansas	USA	left	single	The US Government	leaking state secrets, leaking classified documents	prison van	jailhouse shiv	fetching orange overalls	Espionage, Politics, Wikileaks	politics, warfare		Ashley Olsen			Wikileaks		naïve, guileless, gullible, simplistic, unpatriotic, loose-lipped, sexually-confused, indiscrete, unreliable	principled, brave, courageous, altruistic,	Soldier, Informant, Campaigner, Prisoner	
Tim Berners-Lee	Tim Berners-Lee	male	Cambridge	Massachusetts	USA	left	married	The NSA, Al Gore	promoting the Web	Segway scooter	pointy umbrella	crisp white suit	The World Wide Web, The Internet, Computers	technology, computers		Hugh Grant		The World Wide Web			dull, shy, bland	brilliant, clever, inventive, pioneering, smart, altruistic, decent	Software Engineer, Technologist, Pioneer, Inventor	
Edward Snowden	Edward Snowden	male	Sheremetyevo airport	Moscow	Russia	left	single	The NSA	leaking state secrets, leaking classified documents	second-hand Lada Vesta	giant USB stick	dark suit with no tie	Espionage, Politics, The World Wide Web, The Internet, Computers	technology, computers, politics		Joseph Gordon-Levitt		NSA leaks	NSA		unreliable, loose-lipped, indiscrete, reclusive	principled, brave, courageous, altruistic,	Software Engineer, Technologist, Fugitive, Whistleblower	
Sergey Brin	Sergey Brin	male	Googleplex	Mountain View, California	USA	left	married to Anne Wojcicki, dating Amanda Rosenberg	Mark Zuckerberg	running a tech giant, building a search engine, performing Web searches	driverless Google car	tricked out smartphone	Google goggles, dark T-shirt and torn jeans	The World Wide Web, The Internet, Computers	technology, computers, business		Owen Wilson		Google	Google	Googleplex	cocky, brash, arrogant, wacky, geeky, nerdy, smug, self-satisfied	brilliant, clever, inventive, pioneering, smart, inventive, self-assured	Software Engineer, Technologist, Pioneer, CEO	
Larry Page	Larry Page	male	Googleplex	Mountain View, California	USA	left	married to Lucinda Southworth	Mark Zuckerberg	running a tech giant, building a search engine, performing Web searches	driverless Google car	cutting-edge malware	Google glass, dark T-shirt and torn jeans	The World Wide Web, The Internet, Computers	technology, computers, business		Luke Wilson		Google	Google	Googleplex	eccentric, secretive, wacky, geeky, nerdy, smug, self-satisfied	brilliant, clever, inventive, pioneering, smart, inventive, self-assured	Software Engineer, Technologist, Pioneer, CEO	
Montgomery Burns	Montgomery Burns	male	Springfield Power Plant	Springfield	USA	right	single	Aristotle Amodopoulos	releasing the hounds, counting money, amassing wealth	1936 Stutz Bearcat	radioactive rod, dirty bomb	greyhound puppy tuxedo	Nuclear Power, The Simpsons, Springfield	cartoons, business, finance	fictional	Harry Shearer	Matt Groening	Springfield Power Plant	Team Homer	The Simpsons	sinister, selfish, uncaring, arrogant, out-dated, old-fashioned, covetous, greedy, weak, money-grubbing	rich, wealthy, powerful, whimsical	Tycoon, Mogul, Businessman	Bad, Mpb, Cce
Waylon Smithers	Waylon Smithers	male	Springfield Power Plant	Springfield	USA	right	pining for Montgomery Burns		fawning on the boss, currying favour	roller-skates	Malibu Stacy cannon	pink bathrobe	Nuclear Power, The Simpsons, Springfield	cartoons	fictional	Harry Shearer	Matt Groening		Malibu Stacy fan club	The Simpsons	obedient, sycophantic, sexually-confused, fawning	dutiful, dedicated, loyal, devoted, hard-working	Lackey, Toady, Executive Assistant	Av, Kt, Dra
